,Région,Rayonnement solaire global (W/m2),Année,Heure,Saison,Energie (W.h-1.m2-1),mois,an,Tarif ≤ 9 kWc,Tarif ≤ 3 kWc
0,Nouvelle-Aquitaine,147.92,2020-01-01,12:00:00,Hiver,12.326666666666666,1,2020,15.75,18.53
1,Nouvelle-Aquitaine,0.0,2020-01-01,06:00:00,Hiver,0.0,1,2020,15.75,18.53
2,Nouvelle-Aquitaine,18.54,2020-01-01,18:00:00,Hiver,1.03,1,2020,15.75,18.53
3,Nouvelle-Aquitaine,7.95,2020-01-01,00:00:00,Hiver,0.0,1,2020,15.75,18.53
4,Nouvelle-Aquitaine,0.0,2020-01-01,21:00:00,Hiver,0.0,1,2020,15.75,18.53
5,Nouvelle-Aquitaine,0.0,2020-01-01,03:00:00,Hiver,0.0,1,2020,15.75,18.53
6,Nouvelle-Aquitaine,158.43,2020-01-01,15:00:00,Hiver,10.562000000000001,1,2020,15.75,18.53
7,Nouvelle-Aquitaine,12.49,2020-01-01,09:00:00,Hiver,1.3877777777777778,1,2020,15.75,18.53
8,Nouvelle-Aquitaine,212.65,2020-01-02,15:00:00,Hiver,14.176666666666668,1,2020,15.75,18.53
9,Nouvelle-Aquitaine,21.11,2020-01-02,09:00:00,Hiver,2.3455555555555554,1,2020,15.75,18.53
10,Nouvelle-Aquitaine,224.21,2020-01-02,12:00:00,Hiver,18.684166666666666,1,2020,15.75,18.53
11,Nouvelle-Aquitaine,0.0,2020-01-02,21:00:00,Hiver,0.0,1,2020,15.75,18.53
12,Nouvelle-Aquitaine,0.0,2020-01-02,00:00:00,Hiver,0.0,1,2020,15.75,18.53
13,Nouvelle-Aquitaine,22.75,2020-01-02,18:00:00,Hiver,1.2638888888888888,1,2020,15.75,18.53
14,Nouvelle-Aquitaine,0.0,2020-01-02,06:00:00,Hiver,0.0,1,2020,15.75,18.53
15,Nouvelle-Aquitaine,0.0,2020-01-02,03:00:00,Hiver,0.0,1,2020,15.75,18.53
16,Nouvelle-Aquitaine,0.0,2020-01-03,21:00:00,Hiver,0.0,1,2020,15.75,18.53
17,Nouvelle-Aquitaine,97.06,2020-01-03,12:00:00,Hiver,8.088333333333333,1,2020,15.75,18.53
18,Nouvelle-Aquitaine,119.88,2020-01-03,15:00:00,Hiver,7.992,1,2020,15.75,18.53
19,Nouvelle-Aquitaine,0.0,2020-01-03,03:00:00,Hiver,0.0,1,2020,15.75,18.53
20,Nouvelle-Aquitaine,0.0,2020-01-03,06:00:00,Hiver,0.0,1,2020,15.75,18.53
21,Nouvelle-Aquitaine,16.96,2020-01-03,18:00:00,Hiver,0.9422222222222223,1,2020,15.75,18.53
22,Nouvelle-Aquitaine,12.33,2020-01-03,09:00:00,Hiver,1.37,1,2020,15.75,18.53
23,Nouvelle-Aquitaine,0.0,2020-01-03,00:00:00,Hiver,0.0,1,2020,15.75,18.53
24,Nouvelle-Aquitaine,232.13,2020-01-04,15:00:00,Hiver,15.475333333333333,1,2020,15.75,18.53
25,Nouvelle-Aquitaine,0.0,2020-01-04,21:00:00,Hiver,0.0,1,2020,15.75,18.53
26,Nouvelle-Aquitaine,31.43,2020-01-04,18:00:00,Hiver,1.7461111111111112,1,2020,15.75,18.53
27,Nouvelle-Aquitaine,0.0,2020-01-04,03:00:00,Hiver,0.0,1,2020,15.75,18.53
28,Nouvelle-Aquitaine,0.0,2020-01-04,06:00:00,Hiver,0.0,1,2020,15.75,18.53
29,Nouvelle-Aquitaine,16.49,2020-01-04,09:00:00,Hiver,1.832222222222222,1,2020,15.75,18.53
30,Nouvelle-Aquitaine,0.0,2020-01-04,00:00:00,Hiver,0.0,1,2020,15.75,18.53
31,Nouvelle-Aquitaine,199.68,2020-01-04,12:00:00,Hiver,16.64,1,2020,15.75,18.53
32,Nouvelle-Aquitaine,25.83,2020-01-05,09:00:00,Hiver,2.8699999999999997,1,2020,15.75,18.53
33,Nouvelle-Aquitaine,0.0,2020-01-05,06:00:00,Hiver,0.0,1,2020,15.75,18.53
34,Nouvelle-Aquitaine,0.0,2020-01-05,03:00:00,Hiver,0.0,1,2020,15.75,18.53
35,Nouvelle-Aquitaine,299.4,2020-01-05,15:00:00,Hiver,19.959999999999997,1,2020,15.75,18.53
36,Nouvelle-Aquitaine,38.65,2020-01-05,18:00:00,Hiver,2.147222222222222,1,2020,15.75,18.53
37,Nouvelle-Aquitaine,0.0,2020-01-05,21:00:00,Hiver,0.0,1,2020,15.75,18.53
38,Nouvelle-Aquitaine,275.37,2020-01-05,12:00:00,Hiver,22.9475,1,2020,15.75,18.53
39,Nouvelle-Aquitaine,0.0,2020-01-05,00:00:00,Hiver,0.0,1,2020,15.75,18.53
40,Nouvelle-Aquitaine,0.0,2020-01-06,21:00:00,Hiver,0.0,1,2020,15.75,18.53
41,Nouvelle-Aquitaine,28.18,2020-01-06,09:00:00,Hiver,3.131111111111111,1,2020,15.75,18.53
42,Nouvelle-Aquitaine,0.0,2020-01-06,03:00:00,Hiver,0.0,1,2020,15.75,18.53
43,Nouvelle-Aquitaine,0.0,2020-01-06,00:00:00,Hiver,0.0,1,2020,15.75,18.53
44,Nouvelle-Aquitaine,36.73,2020-01-06,18:00:00,Hiver,2.0405555555555552,1,2020,15.75,18.53
45,Nouvelle-Aquitaine,302.18,2020-01-06,15:00:00,Hiver,20.145333333333333,1,2020,15.75,18.53
