,mois_installation,an_installation,nb_panneaux,panneaux_marque,panneaux_modele,nb_onduleur,onduleur_marque,onduleur_modele,puissance_crete,surface,pente,pente_optimum,orientation,orientation_optimum,installateur,lat,lon,country,administrative_area_level_1,Prix_p,Prix_o,Prix_total1,Prix_total
0,5,2020,10,Bourgeoisglobal,BGPV 300 BK,5,Bourgeoisglobal,MOBg-500-600-EU,3000,17,20,37.0,-15,0.0,ENR2J,44.62,2.12,France,Occitanie,425.0,200.0,5250.0,625.0
1,2,2020,10,Bourgeoisglobal,BGPV 300 BK,5,Bourgeoisglobal,MOBg-500-600-EU,3000,15,30,38.0,-180,6.0,Agsenr,46.19,-1.15,France,Nouvelle-Aquitaine,425.0,200.0,5250.0,625.0
2,8,2020,10,Bourgeoisglobal,BGPV 300 BK,10,Enphase Energy,IQ 7,3000,15,30,39.0,20,0.0,Personnel,43.81,4.46,France,Occitanie,425.0,155.0,5800.0,580.0
3,2,2020,10,Bourgeoisglobal,BGPV 300 BK,5,Bourgeoisglobal,MOBg-500-600-EU,3000,16,30,37.0,Sud,-4.0,SBM,42.9,1.92,France,Occitanie,425.0,200.0,5250.0,625.0
4,6,2021,14,Bourgeoisglobal,BGPV 300 BK,14,Bourgeoisglobal,MOBg-500-600-EU,4200,24,30,37.0,-135,-3.0,tech energie,42.53,2.95,France,Occitanie,425.0,200.0,8750.0,625.0
5,1,2021,20,Bourgeoisglobal,BGPV 300 BK,10,Bourgeoisglobal,MOBg-500-600-EU,6000,32,20,38.0,-180,0.0,O2 Toit ,43.74,3.96,France,Occitanie,425.0,200.0,10500.0,625.0
6,2,2021,20,Bourgeoisglobal,BGPV 300 BK,10,Bourgeoisglobal,MOBg-500-600-EU,6000,32,30,37.0,Sud,4.0,AGS QARA,45.49,0.13,France,Nouvelle-Aquitaine,425.0,200.0,10500.0,625.0
7,3,2021,20,Bourgeoisglobal,BGPV 300 BK,11,Bourgeoisglobal,MOBg-500-600-EU,6000,32,30,38.0,45,0.0,ETHIQUE ENERGIE,43.69,3.54,France,Occitanie,425.0,200.0,10700.0,625.0
8,2,2021,10,Bourgeoisglobal,BGPV 300 BK,1,Bourgeoisglobal,MOBg-500-600-EU,3000,20,45,37.0,-180,1.0,qara,43.71,1.47,France,Occitanie,425.0,200.0,4450.0,625.0
9,4,2021,10,Bourgeoisglobal,BGPV 300 BK,10,Bourgeoisglobal,MOBg-500-600-EU,3000,10,0,37.0,45,7.0,Qara,45.3,-0.93,France,Nouvelle-Aquitaine,425.0,200.0,6250.0,625.0
10,6,2021,8,Bourgeoisglobal,BGPV 300 BK,4,Bourgeoisglobal,MOBg-500-600-EU,2400,12,0,37.0,45,-1.0,SMER,45.93,1.03,France,Nouvelle-Aquitaine,425.0,200.0,4200.0,625.0
11,6,2021,8,Bourgeoisglobal,BGPV 300 BK,4,Bourgeoisglobal,MOBg-500-600-EU,2400,13,30,38.0,45,-6.0,Aplusenergies,43.16,-0.23,France,Nouvelle-Aquitaine,425.0,200.0,4200.0,625.0
12,7,2021,8,DUALSUN,DS 375W,8,Enphase Energy,IQ 7,3000,15,30,36.0,-45,1.0,Nouvel R,44.34,1.01,France,Occitanie,226.8,155.0,3054.4,381.8
13,8,2021,8,DUALSUN,DS 375W,8,Enphase Energy,IQ 7,3000,20,20,38.0,Sud,-1.0,Mr Faur&amp;eacute; - Carbonne,43.27,0.96,France,Occitanie,226.8,155.0,3054.4,381.8
14,7,2021,10,Bourgeoisglobal,BGPV 300 BK,5,Bourgeoisglobal,MOBg-500-600-EU,3000,16,15,37.0,Sud,4.0,ABELLIO,43.21,1.38,France,Occitanie,425.0,200.0,5250.0,625.0
15,11,2021,8,TRINA SOLAR,VERTEX S - DE09.08 Fond blanc / 400 W,8,Enphase Energy,IQ 7+,3200,15,15,38.0,Sud,1.0,Moi,43.37,1.29,France,Occitanie,207.1,184.81,3135.2799999999997,391.90999999999997
16,12,2021,8,TRINA SOLAR,VERTEX S - DE09.08 Fond blanc / 400 W,8,Enphase Energy,IQ 7+,3200,15,20,37.0,-45,4.0,Moi meme,43.24,2.32,France,Occitanie,207.1,184.81,3135.2799999999997,391.90999999999997
17,1,2022,4,TRINA SOLAR,VERTEX S - DE09.08 Fond blanc / 400 W,4,Enphase Energy,IQ 7+,1600,8,10,37.0,-45,0.0,Moi,45.85,1.25,France,Nouvelle-Aquitaine,0.0,184.81,739.24,184.81
18,5,2022,16,Bourgeoisglobal,BGPV 300 BK,16,Enphase Energy,IQ 7+,4800,29,20,38.0,-110,0.0,Allez et Cie,43.37,3.25,France,Occitanie,425.0,184.81,9756.96,609.81
19,1,2022,6,TRINA SOLAR,VERTEX S - DE09.08 Fond blanc / 400 W,6,Enphase Energy,IQ 7,2400,11,15,37.0,45,1.0,moi-m&amp;amp;ecirc;me,43.77,1.35,France,Occitanie,207.1,155.0,2172.6,362.1
20,10,2021,4,TRINA SOLAR,VERTEX S - DE09.08 Fond blanc / 400 W,4,Enphase Energy,IQ 7+,1600,4,30,37.0,Sud,4.0,Moi,43.78,-0.42,France,Nouvelle-Aquitaine,0.0,184.81,739.24,184.81
21,2,2022,6,TRINA SOLAR,VERTEX S - DE09.08 Fond blanc / 400 W,6,Enphase Energy,IQ 7,2400,11,15,38.0,-45,-4.0,Moi,43.28,-0.3,France,Nouvelle-Aquitaine,207.1,155.0,2172.6,362.1
22,1,2022,8,TRINA SOLAR,VERTEX S - DE09.08 Fond blanc / 400 W,8,Enphase Energy,IQ 7,3200,15,60,37.0,-180,0.0,particulier,44.84,0.46,France,Nouvelle-Aquitaine,207.1,155.0,2896.8,362.1
